Référence;Adresse;Surface (m²);Compte;Propriétaire
790174199 A0084;0002  RUE DU STADE PAIZAY 79500 MELLE;1260;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0085;0002  RUE DU STADE PAIZAY 79500 MELLE;1280;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0148;   LA BOUCHONNERIE 79500 MELLE;7310;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0149;   LA BOUCHONNERIE 79500 MELLE;1840;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0150;   LA BOUCHONNERIE 79500 MELLE;2900;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0151;   LA BOUCHONNERIE 79500 MELLE;4850;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0156;   LA BOUCHONNERIE 79500 MELLE;2950;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0416;   LES VIGNES DE PONTHIOUX 79500 MELLE;3000;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0434;0012  RUE DE L'EGLISE SAINT PIERRE 79500 MELLE;1202;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0469;0001  RUE DU STADE PAIZAY 79500 MELLE;6065;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0471;   LA BOUCHONNERIE 79500 MELLE;5140;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0473;   LA BOUCHONNERIE 79500 MELLE;7166;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0474;0002  RUE DU PONT DE PEROUZEAU 79500 MELLE;5023;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 A0499;0001  PL CHATEAU GAILLARD 79500 MELLE;998;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B0125;   LA BARETTE 79500 MELLE;7410;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B0349;   LE BOURG PAIZAY 79500 MELLE;1930;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B1113;   PONTHIOUX 79500 MELLE;3297;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B1176;   LE QUEROY 79500 MELLE;760;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B1230;   LE BOURG PAIZAY 79500 MELLE;909;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199 B1266;0003  RUE DU PONT DE PEROUZEAU 79500 MELLE;1102;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0009;   LA PLAINE DU MOULIN A VENT 79500 MELLE;5240;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0089;0017  LOT BEL AIR 79500 MELLE;1575;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0090;   LA PLAINE DU MOULIN A VENT 79500 MELLE;1242;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0092;0002  LOT BEL AIR 79500 MELLE;1125;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0110;   LA PLAINE DU MOULIN A VENT 79500 MELLE;3766;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0114;   LA PLAINE DU MOULIN A VENT 79500 MELLE;1617;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZC0116;   LA PLAINE DU MOULIN A VENT 79500 MELLE;5084;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZH0046;   LA BARETTE SUD 79500 MELLE;23071;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174199ZH0058;   LA GROIE OUEST 79500 MELLE;1510;+00434; COMMUNE DE PAIZAY LE TORT   79500 MELLE 
790174264 C0925;   LA NOUETTE 79500 MELLE;6111;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 C0926;   LA NOUETTE 79500 MELLE;1019;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 H0334;   PIED POUZIN 79500 MELLE;756;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0048;   L AUBOUINIERE 79500 MELLE;2000;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0094;   LES PAULT DE SAINT THIBAUL 79500 MELLE;7800;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0098;   LES PAULT DE SAINT THIBAUL 79500 MELLE;11020;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0102;   LES PAULT DE SAINT THIBAUL 79500 MELLE;1100;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0103;   LES PAULT DE SAINT THIBAUL 79500 MELLE;6860;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0104;   LES PAULT DE SAINT THIBAUL 79500 MELLE;2150;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0105;   LES PAULT DE SAINT THIBAUL 79500 MELLE;3480;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0113;   LE GRAND PRE ST LEGER 79500 MELLE;19400;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0114;   LE GRAND PRE ST LEGER 79500 MELLE;1070;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0115;   LE GRAND PRE ST LEGER 79500 MELLE;8820;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0202;   LES RENAUDRIES 79500 MELLE;10960;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0244;0009  RTE DE LA BERTRAMIERE 79500 MELLE;890;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0405;   LE CHAILLOT ST LEGER 79500 MELLE;989;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0406;   LE CHAILLOT ST LEGER 79500 MELLE;1421;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264 I0438;   PRES DE PIED POUZIN SUD 79500 MELLE;1740;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
